full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/2553/snax?maps=de_train,0.7,0.71,47.9,1.0,1.04,75.6,17.6,72.4,0.92,0.04,0.07,0.08,12.8,13.5,0.12,15.6,0.06,0.07,0.1,13.6,17.2,79.0,0.58,0.11,0.1,20.9,50.5,73.8,2.58,0.48,0.02,8.8,57.7,0m 47s,5.2,0.52,0.18,25.5,13.9,0.05,0.04,0.52,4.42,1.01,0.55,0.03,2.1,Snax,de_train,31
https://www.hltv.org/stats/players/2553/snax?maps=de_nuke,0.7,0.71,48.5,0.97,1.04,76.9,17.2,87.1,0.87,0.09,0.07,0.1,15.6,17.0,0.14,16.6,0.1,0.08,0.11,14.9,16.5,96.0,0.74,0.12,0.1,22.0,54.7,76.8,2.85,0.57,0.03,11.0,57.1,0m 45s,7.0,0.24,0.12,16.7,9.2,0.03,0.03,0.52,4.61,0.94,0.51,0.03,2.51,Snax,de_nuke,31
https://www.hltv.org/stats/players/2553/snax?maps=de_inferno,0.46,0.66,45.0,0.94,0.99,70.3,15.7,58.9,1.01,0.13,0.1,0.09,12.9,15.5,0.14,18.6,0.08,0.08,0.08,11.4,20.5,69.0,0.53,0.1,0.11,21.2,48.1,71.7,2.68,0.41,0.02,7.0,56.4,0m 46s,8.4,0.16,0.09,13.6,6.8,0.02,0.02,0.62,6.27,1.35,0.47,0.03,2.38,Snax,de_inferno,31
https://www.hltv.org/stats/players/2553/snax?maps=de_mirage,0.55,0.68,46.9,0.94,1.02,71.8,16.3,62.4,0.98,0.03,0.07,0.08,12.0,13.6,0.12,18.2,0.05,0.07,0.08,11.9,19.2,72.0,0.57,0.11,0.1,20.7,50.7,74.2,2.38,0.53,0.03,8.5,70.2,0m 43s,6.3,0.4,0.15,22.5,11.8,0.04,0.03,0.35,3.55,1.06,0.48,0.02,1.67,Snax,de_mirage,31
https://www.hltv.org/stats/players/2553/snax?maps=de_dust2,0.47,0.65,44.6,0.92,0.98,71.0,16.0,60.2,1.01,0.05,0.08,0.08,11.5,11.8,0.14,18.6,0.03,0.07,0.06,9.9,17.9,72.0,0.65,0.11,0.11,22.1,50.9,72.9,2.23,0.5,0.03,7.7,57.9,0m 43s,7.3,0.62,0.2,30.8,15.4,0.05,0.05,0.53,3.83,1.12,0.57,0.04,2.41,Snax,de_dust2,31
https://www.hltv.org/stats/players/2553/snax?maps=de_vertigo,0.75,0.71,48.5,0.98,1.11,79.2,17.4,104.0,1.06,0.21,0.09,0.12,17.7,15.4,0.16,18.4,0.15,0.08,0.11,16.0,19.5,111.0,0.74,0.12,0.11,23.0,53.5,70.0,2.99,0.48,0.02,11.6,48.4,1m 4s,8.3,0.43,0.16,23.0,13.6,0.04,0.04,0.78,6.83,1.64,0.6,0.05,2.46,Snax,de_vertigo,31
https://www.hltv.org/stats/players/2553/snax?maps=de_ancient,0.35,0.62,44.0,0.85,0.97,71.5,14.3,90.9,0.87,0.4,0.1,0.13,19.1,26.4,0.16,19.5,0.27,0.09,0.12,18.9,20.9,115.0,0.31,0.09,0.11,19.0,44.7,65.0,2.97,0.52,0.02,11.8,70.5,1m 2s,7.9,0.09,0.05,7.8,3.6,0.01,0.005,0.72,5.53,0.87,0.64,0.05,2.19,Snax,de_ancient,31
https://www.hltv.org/stats/players/2553/snax?maps=de_anubis,0.16,0.56,40.5,0.78,0.94,66.4,12.6,86.2,0.85,0.18,0.09,0.11,16.5,18.6,0.15,23.2,0.43,0.1,0.12,21.9,24.5,118.0,0.24,0.07,0.11,18.8,39.7,69.6,2.72,0.8,0.04,9.4,88.9,1m 11s,9.3,0.08,0.04,7.2,3.6,0.01,0.003,0.73,5.72,0.49,0.69,0.04,1.97,Snax,de_anubis,31
https://www.hltv.org/stats/players/7998/s1mple?maps=de_train,0.99,0.89,56.5,1.18,1.3,87.6,23.3,104.8,1.22,0.11,0.08,0.1,16.6,16.3,0.1,12.6,0.38,0.1,0.15,16.8,16.5,91.0,0.81,0.14,0.08,21.3,63.6,75.6,2.06,0.75,0.03,12.4,67.7,1m 4s,7.2,0.93,0.39,44.0,27.6,0.11,0.08,0.37,1.69,0.35,0.59,0.03,2.27,s1mple,de_train,27
https://www.hltv.org/stats/players/7998/s1mple?maps=de_nuke,0.98,0.86,55.1,1.17,1.25,86.1,23.4,97.4,1.29,0.06,0.07,0.1,14.9,12.2,0.1,12.9,0.35,0.1,0.14,16.5,17.4,87.0,0.85,0.14,0.08,22.1,63.8,75.6,2.33,0.59,0.03,11.6,60.7,1m 0s,7.4,0.71,0.24,27.7,18.0,0.06,0.06,0.34,2.41,0.64,0.51,0.03,2.23,s1mple,de_nuke,27
